date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:51:02	1668/1668	---M--	200	added ('OK')	application/x-javascript	etag:%22684-5b5000f475a98%22	https://fito.dexignzone.com/xhtml/js/plugins-init/jqvmap-init.js	E:/Gym_fitnss/fito.dexignzone.com/xhtml/js/plugins-init/jqvmap-init.js	(from https://fito.dexignzone.com/xhtml/map-jqvmap.html)
12:51:03	27764/27764	---M--	200	added ('OK')	application/x-javascript	etag:%226c74-5b5000fac50f9%22	https://fito.dexignzone.com/xhtml/js/plugins-init/widgets-script-init.js	E:/Gym_fitnss/fito.dexignzone.com/xhtml/js/plugins-init/widgets-script-init.js	(from https://fito.dexignzone.com/xhtml/widget-basic.html)
12:51:03	6019/6019	---M--	200	added ('OK')	text/css	etag:%221783-5b4c6ac8951d1%22	https://fito.dexignzone.com/xhtml/vendor/jquery-steps/css/jquery.steps.css	E:/Gym_fitnss/fito.dexignzone.com/xhtml/vendor/jquery-steps/css/jquery.steps.css	(from https://fito.dexignzone.com/xhtml/form-wizard.html)
12:51:04	13862/13862	---M--	200	added ('OK')	application/x-javascript	etag:%223626-5b4c6ac71ec3b%22	https://fito.dexignzone.com/xhtml/vendor/jquery-steps/build/jquery.steps.min.js	E:/Gym_fitnss/fito.dexignzone.com/xhtml/vendor/jquery-steps/build/jquery.steps.min.js	(from https://fito.dexignzone.com/xhtml/form-wizard.html)
12:51:04	24371/24371	---M--	200	added ('OK')	application/x-javascript	etag:%225f33-5b4c672fb2a12%22	https://fito.dexignzone.com/xhtml/vendor/jquery-validation/jquery.validate.min.js	E:/Gym_fitnss/fito.dexignzone.com/xhtml/vendor/jquery-validation/jquery.validate.min.js	(from https://fito.dexignzone.com/xhtml/form-wizard.html)
12:51:04	4032/4032	---M--	200	added ('OK')	application/x-javascript	etag:%22fc0-5b5000f3cd347%22	https://fito.dexignzone.com/xhtml/js/plugins-init/jquery.validate-init.js	E:/Gym_fitnss/fito.dexignzone.com/xhtml/js/plugins-init/jquery.validate-init.js	(from https://fito.dexignzone.com/xhtml/form-wizard.html)
12:51:04	471/471	---M--	200	added ('OK')	application/x-javascript	etag:%221d7-5b5000f358047%22	https://fito.dexignzone.com/xhtml/js/plugins-init/jquery-steps-init.js	E:/Gym_fitnss/fito.dexignzone.com/xhtml/js/plugins-init/jquery-steps-init.js	(from https://fito.dexignzone.com/xhtml/form-wizard.html)
12:51:05	18395/18395	---M--	200	added ('OK')	text/css	etag:%2247db-5b4c674292fdb%22	https://fito.dexignzone.com/xhtml/vendor/summernote/summernote.css	E:/Gym_fitnss/fito.dexignzone.com/xhtml/vendor/summernote/summernote.css	(from https://fito.dexignzone.com/xhtml/form-editor-summernote.html)
12:51:05	368/368	---M--	200	added ('OK')	application/x-javascript	etag:%22170-5b5000f84cbc7%22	https://fito.dexignzone.com/xhtml/js/plugins-init/summernote-init.js	E:/Gym_fitnss/fito.dexignzone.com/xhtml/js/plugins-init/summernote-init.js	(from https://fito.dexignzone.com/xhtml/form-editor-summernote.html)
12:51:06	122968/122968	---M--	200	added ('OK')	application/x-javascript	etag:%221e058-5b4c6b064d18b%22	https://fito.dexignzone.com/xhtml/vendor/summernote/js/summernote.min.js	E:/Gym_fitnss/fito.dexignzone.com/xhtml/vendor/summernote/js/summernote.min.js	(from https://fito.dexignzone.com/xhtml/form-editor-summernote.html)
12:51:06	8069/8069	---M--	200	added ('OK')	text/css	etag:%221f85-5b4c670af2412%22	https://fito.dexignzone.com/xhtml/vendor/bootstrap-daterangepicker/daterangepicker.css	E:/Gym_fitnss/fito.dexignzone.com/xhtml/vendor/bootstrap-daterangepicker/daterangepicker.css	(from https://fito.dexignzone.com/xhtml/form-pickers.html)
12:51:06	3141/3141	---M--	200	added ('OK')	text/css	etag:%22c45-5b4c6a892ea11%22	https://fito.dexignzone.com/xhtml/vendor/clockpicker/css/bootstrap-clockpicker.min.css	E:/Gym_fitnss/fito.dexignzone.com/xhtml/vendor/clockpicker/css/bootstrap-clockpicker.min.css	(from https://fito.dexignzone.com/xhtml/form-pickers.html)
12:51:07	5962/5962	---M--	200	added ('OK')	text/css	etag:%22174a-5b4c6ac0f8dea%22	https://fito.dexignzone.com/xhtml/vendor/jquery-asColorPicker/css/asColorPicker.min.css	E:/Gym_fitnss/fito.dexignzone.com/xhtml/vendor/jquery-asColorPicker/css/asColorPicker.min.css	(from https://fito.dexignzone.com/xhtml/form-pickers.html)
12:51:09	3656/3656	---M--	200	added ('OK')	text/css	etag:%22e48-5b4c6a5e703c6%22	https://fito.dexignzone.com/xhtml/vendor/bootstrap-material-datetimepicker/css/bootstrap-material-datetimepicker.css	E:/Gym_fitnss/fito.dexignzone.com/xhtml/vendor/bootstrap-material-datetimepicker/css/bootstrap-material-datetimepicker.css	(from https://fito.dexignzone.com/xhtml/form-pickers.html)
12:51:11	1985/1985	---M--	200	added ('OK')	text/css	etag:%227c1-5b4c6aeb73b7a%22	https://fito.dexignzone.com/xhtml/vendor/pickadate/themes/default.css	E:/Gym_fitnss/fito.dexignzone.com/xhtml/vendor/pickadate/themes/default.css	(from https://fito.dexignzone.com/xhtml/form-pickers.html)
12:51:12	4239/4239	---M--	200	added ('OK')	text/css	etag:%22108f-5b4c6aebdcb2b%22	https://fito.dexignzone.com/xhtml/vendor/pickadate/themes/default.date.css	E:/Gym_fitnss/fito.dexignzone.com/xhtml/vendor/pickadate/themes/default.date.css	(from https://fito.dexignzone.com/xhtml/form-pickers.html)
12:51:12	67268/67268	---M--	200	added ('OK')	application/x-javascript	etag:%22106c4-5b4c670c12574%22	https://fito.dexignzone.com/xhtml/vendor/bootstrap-daterangepicker/daterangepicker.js	E:/Gym_fitnss/fito.dexignzone.com/xhtml/vendor/bootstrap-daterangepicker/daterangepicker.js	(from https://fito.dexignzone.com/xhtml/form-pickers.html)
12:51:12	11157/11157	---M--	200	added ('OK')	application/x-javascript	etag:%222b95-5b4c6a8ac2468%22	https://fito.dexignzone.com/xhtml/vendor/clockpicker/js/bootstrap-clockpicker.min.js	E:/Gym_fitnss/fito.dexignzone.com/xhtml/vendor/clockpicker/js/bootstrap-clockpicker.min.js	(from https://fito.dexignzone.com/xhtml/form-pickers.html)
12:51:13	12402/12402	---M--	200	added ('OK')	application/x-javascript	etag:%223072-5b4c672952241%22	https://fito.dexignzone.com/xhtml/vendor/jquery-asColor/jquery-asColor.min.js	E:/Gym_fitnss/fito.dexignzone.com/xhtml/vendor/jquery-asColor/jquery-asColor.min.js	(from https://fito.dexignzone.com/xhtml/form-pickers.html)
12:51:13	9665/9665	---M--	200	added ('OK')	application/x-javascript	etag:%2225c1-5b4c672b1aaf3%22	https://fito.dexignzone.com/xhtml/vendor/jquery-asGradient/jquery-asGradient.min.js	E:/Gym_fitnss/fito.dexignzone.com/xhtml/vendor/jquery-asGradient/jquery-asGradient.min.js	(from https://fito.dexignzone.com/xhtml/form-pickers.html)
12:51:14	33592/33592	---M--	200	added ('OK')	application/x-javascript	etag:%228338-5b4c6ac530c93%22	https://fito.dexignzone.com/xhtml/vendor/jquery-asColorPicker/js/jquery-asColorPicker.min.js	E:/Gym_fitnss/fito.dexignzone.com/xhtml/vendor/jquery-asColorPicker/js/jquery-asColorPicker.min.js	(from https://fito.dexignzone.com/xhtml/form-pickers.html)
12:51:15	57905/57905	---M--	200	added ('OK')	application/x-javascript	etag:%22e231-5b4c6a602d62d%22	https://fito.dexignzone.com/xhtml/vendor/bootstrap-material-datetimepicker/js/bootstrap-material-datetimepicker.js	E:/Gym_fitnss/fito.dexignzone.com/xhtml/vendor/bootstrap-material-datetimepicker/js/bootstrap-material-datetimepicker.js	(from https://fito.dexignzone.com/xhtml/form-pickers.html)
12:51:15	8779/8779	---M--	200	added ('OK')	application/x-javascript	etag:%22224b-5b4c673ea5217%22	https://fito.dexignzone.com/xhtml/vendor/pickadate/picker.js	E:/Gym_fitnss/fito.dexignzone.com/xhtml/vendor/pickadate/picker.js	(from https://fito.dexignzone.com/xhtml/form-pickers.html)
12:51:15	9085/9085	---M--	200	added ('OK')	application/x-javascript	etag:%22237d-5b4c673f108d7%22	https://fito.dexignzone.com/xhtml/vendor/pickadate/picker.time.js	E:/Gym_fitnss/fito.dexignzone.com/xhtml/vendor/pickadate/picker.time.js	(from https://fito.dexignzone.com/xhtml/form-pickers.html)
12:51:15	12800/12800	---M--	200	added ('OK')	application/x-javascript	etag:%223200-5b4c673e35a3c%22	https://fito.dexignzone.com/xhtml/vendor/pickadate/picker.date.js	E:/Gym_fitnss/fito.dexignzone.com/xhtml/vendor/pickadate/picker.date.js	(from https://fito.dexignzone.com/xhtml/form-pickers.html)
12:51:16	892/892	---M--	200	added ('OK')	application/x-javascript	etag:%2237c-5b5000eeeda52%22	https://fito.dexignzone.com/xhtml/js/plugins-init/bs-daterange-picker-init.js	E:/Gym_fitnss/fito.dexignzone.com/xhtml/js/plugins-init/bs-daterange-picker-init.js	(from https://fito.dexignzone.com/xhtml/form-pickers.html)
12:51:16	572/572	---M--	200	added ('OK')	application/x-javascript	etag:%2223c-5b5000f08caf4%22	https://fito.dexignzone.com/xhtml/js/plugins-init/clock-picker-init.js	E:/Gym_fitnss/fito.dexignzone.com/xhtml/js/plugins-init/clock-picker-init.js	(from https://fito.dexignzone.com/xhtml/form-pickers.html)
12:51:16	267/267	---M--	200	added ('OK')	application/x-javascript	etag:%2210b-5b5000f2fe7fb%22	https://fito.dexignzone.com/xhtml/js/plugins-init/jquery-asColorPicker.init.js	E:/Gym_fitnss/fito.dexignzone.com/xhtml/js/plugins-init/jquery-asColorPicker.init.js	(from https://fito.dexignzone.com/xhtml/form-pickers.html)
12:51:17	519/519	---M--	200	added ('OK')	application/x-javascript	etag:%22207-5b5000f4ce5dd%22	https://fito.dexignzone.com/xhtml/js/plugins-init/material-date-picker-init.js	E:/Gym_fitnss/fito.dexignzone.com/xhtml/js/plugins-init/material-date-picker-init.js	(from https://fito.dexignzone.com/xhtml/form-pickers.html)
12:51:17	121/121	---M--	200	added ('OK')	application/x-javascript	etag:%2279-5b5000f69e3bf%22	https://fito.dexignzone.com/xhtml/js/plugins-init/pickadate-init.js	E:/Gym_fitnss/fito.dexignzone.com/xhtml/js/plugins-init/pickadate-init.js	(from https://fito.dexignzone.com/xhtml/form-pickers.html)
12:51:18	13901/13901	---M--	200	added ('OK')	text/css	etag:%22364d-5b4c6a8cbfb75%22	https://fito.dexignzone.com/xhtml/vendor/datatables/css/jquery.dataTables.min.css	E:/Gym_fitnss/fito.dexignzone.com/xhtml/vendor/datatables/css/jquery.dataTables.min.css	(from https://fito.dexignzone.com/xhtml/table-datatable-basic.html)
12:51:20	4941/4941	---M--	200	added ('OK')	image/jpeg	etag:%22134d-5b4c69cb9aae6%22	https://fito.dexignzone.com/xhtml/images/profile/small/pic1.jpg	E:/Gym_fitnss/fito.dexignzone.com/xhtml/images/profile/small/pic1.jpg	(from https://fito.dexignzone.com/xhtml/table-datatable-basic.html)
12:51:20	3952/3952	---M--	200	added ('OK')	image/jpeg	etag:%22f70-5b4c69cc69631%22	https://fito.dexignzone.com/xhtml/images/profile/small/pic2.jpg	E:/Gym_fitnss/fito.dexignzone.com/xhtml/images/profile/small/pic2.jpg	(from https://fito.dexignzone.com/xhtml/table-datatable-basic.html)
12:51:20	4877/4877	---M--	200	added ('OK')	image/jpeg	etag:%22130d-5b4c69ccd18dc%22	https://fito.dexignzone.com/xhtml/images/profile/small/pic3.jpg	E:/Gym_fitnss/fito.dexignzone.com/xhtml/images/profile/small/pic3.jpg	(from https://fito.dexignzone.com/xhtml/table-datatable-basic.html)
12:51:21	5595/5595	---M--	200	added ('OK')	image/jpeg	etag:%2215db-5b4c69cd3f6ad%22	https://fito.dexignzone.com/xhtml/images/profile/small/pic4.jpg	E:/Gym_fitnss/fito.dexignzone.com/xhtml/images/profile/small/pic4.jpg	(from https://fito.dexignzone.com/xhtml/table-datatable-basic.html)
12:51:23	4810/4810	---M--	200	added ('OK')	image/jpeg	etag:%2212ca-5b4c69cda2b38%22	https://fito.dexignzone.com/xhtml/images/profile/small/pic5.jpg	E:/Gym_fitnss/fito.dexignzone.com/xhtml/images/profile/small/pic5.jpg	(from https://fito.dexignzone.com/xhtml/table-datatable-basic.html)
12:51:23	4557/4557	---M--	200	added ('OK')	image/jpeg	etag:%2211cd-5b4c69ce13018%22	https://fito.dexignzone.com/xhtml/images/profile/small/pic6.jpg	E:/Gym_fitnss/fito.dexignzone.com/xhtml/images/profile/small/pic6.jpg	(from https://fito.dexignzone.com/xhtml/table-datatable-basic.html)
12:51:23	5222/5222	---M--	200	added ('OK')	image/jpeg	etag:%221466-5b4c69ce78bb4%22	https://fito.dexignzone.com/xhtml/images/profile/small/pic7.jpg	E:/Gym_fitnss/fito.dexignzone.com/xhtml/images/profile/small/pic7.jpg	(from https://fito.dexignzone.com/xhtml/table-datatable-basic.html)
12:51:24	6416/6416	---M--	200	added ('OK')	image/jpeg	etag:%221910-5b4c69cede74f%22	https://fito.dexignzone.com/xhtml/images/profile/small/pic8.jpg	E:/Gym_fitnss/fito.dexignzone.com/xhtml/images/profile/small/pic8.jpg	(from https://fito.dexignzone.com/xhtml/table-datatable-basic.html)
12:51:24	7477/7477	---M--	200	added ('OK')	image/jpeg	etag:%221d35-5b4c69cf469fa%22	https://fito.dexignzone.com/xhtml/images/profile/small/pic9.jpg	E:/Gym_fitnss/fito.dexignzone.com/xhtml/images/profile/small/pic9.jpg	(from https://fito.dexignzone.com/xhtml/table-datatable-basic.html)
